Id,Label,timeset,lat,lng,kind of node,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
https://www.instagram.com/_magdis/,_magdis,,49.609913,0.409008,a,1,4,2,15,17,2,0.000925,0.471541,0.1119,51.525515,0.008204,6,0.297521,0.320378,54.877222
https://www.instagram.com/black_friction_/,black_friction_,,,,a,1,2,11,16,27,11,0.00509,0.471541,0.142836,51.513609,0.008202,5,0.347994,0.367747,1810.285285
https://www.instagram.com/fpoire/,fpoire,,,,a,1,4,2,42,44,2,0.000925,0.471541,0.1064,0,0,6,0.281507,0.309498,52.47154
https://www.instagram.com/frau_victor/,frau_victor,,51.525515,7.357914,a,1,4,6,72,78,6,0.002776,0.471541,0.14195,152.636736,0.024302,5,0.369294,0.399059,14775.504345
https://www.instagram.com/rokusfocus/,rokusfocus,,,,a,1,4,20,259,279,20,0.009255,0.471541,0.137286,148.751479,0.023684,5,0.382436,0.443719,109281.156732
https://www.instagram.com/black_plastic_records/,black_plastic_records,,51.513609,7.451419,a,1,0,76,356,432,76,0.035169,0.471541,0.161621,1135.837211,0.180844,5,0.414349,0.48865,291988.795949
https://www.instagram.com/12inchdav/,12inchdav,,,,a,1,6,3,6,9,3,0.001388,0.471541,0.136506,103.023602,0.016403,6,0.305171,0.320779,251.337443
https://www.instagram.com/adhocraum/,adhocraum,,51.478345,7.212198,a,1,6,31,101,132,31,0.014345,0.471541,0.149549,923.479166,0.147033,5,0.381087,0.415216,6947.630076
https://www.instagram.com/atelierautomatique/,atelierautomatique,,51.479454,7.212185,a,1,6,43,42,85,43,0.019898,0.471541,0.158476,1493.197195,0.237742,5,0.349854,0.372986,1999.842116
https://www.instagram.com/beyondrichard/,beyondrichard,,,,a,1,2,13,44,57,13,0.006016,0.471541,0.156413,257.590187,0.041013,5,0.40457,0.430185,6264.218595
https://www.instagram.com/black_plastic_in_concert/,black_plastic_in_concert,,,,a,1,0,5,19,24,5,0.002314,0.471541,0.122922,51.513609,0.008202,6,0.309323,0.334645,249.472249
https://www.instagram.com/fumieenoki/,fumieenoki,,,,a,1,6,4,37,41,4,0.001851,0.471541,0.135238,205.942377,0.03279,5,0.372285,0.39909,310.22828
https://www.instagram.com/grauistkeinefarbe/,grauistkeinefarbe,,,,a,1,2,16,64,80,16,0.007404,0.471541,0.141824,206.105641,0.032816,4,0.397132,0.426235,9017.750014
https://www.instagram.com/gruene_ruhr/,gruene_ruhr,,51.427293,6.882919,a,1,2,6,21,27,6,0.002776,0.471541,0.12851,154.552349,0.024607,5,0.332871,0.353943,617.713878
https://www.instagram.com/herrkorbes/,herrkorbes,,,,a,1,6,13,46,59,13,0.006016,0.471541,0.146673,411.952258,0.06559,5,0.358625,0.383696,1156.110097
https://www.instagram.com/janna_banning/,janna_banning,,51.51261,7.437396,a,1,6,77,533,610,77,0.035632,0.471541,0.168952,1426.48726,0.227121,4,0.526444,0.599228,325640.408259
https://www.instagram.com/jasonpollux/,jasonpollux,,,,a,1,2,21,50,71,21,0.009718,0.471541,0.165633,566.478834,0.090193,5,0.368412,0.394938,3681.496778
https://www.instagram.com/kathlina.anna/,kathlina.anna,,,,a,1,6,6,31,37,6,0.002776,0.471541,0.135314,257.402684,0.040983,5,0.365916,0.389946,815.821404
https://www.instagram.com/kugelpudel_haus_am_see/,kugelpudel_haus_am_see,,51.485723,7.213705,a,1,6,58,165,223,58,0.026839,0.471541,0.173591,2059.590556,0.327922,4,0.43769,0.481366,34705.693921
https://www.instagram.com/kulturfabrik_bochum/,kulturfabrik_bochum,,51.486702,7.211973,a,1,6,33,33,66,33,0.015271,0.471541,0.160972,1081.140705,0.172136,5,0.338399,0.36267,2597.887146
https://www.instagram.com/lunatic_circus_ev/,lunatic_circus_ev,,51.47334,7.220043,a,1,6,11,27,38,11,0.00509,0.471541,0.146539,463.396922,0.073781,4,0.392015,0.417824,2196.830203
https://www.instagram.com/progranauten/,progranauten,,,,a,1,6,13,82,95,13,0.006016,0.471541,0.154601,463.451023,0.073789,5,0.387166,0.420965,2770.359564
https://www.instagram.com/provinzeditionen/,provinzeditionen,,51.471521,7.221742,a,1,6,13,76,89,13,0.006016,0.471541,0.139802,308.957657,0.049191,5,0.336082,0.370293,2163.606753
https://www.instagram.com/bude.116.einhalb/,bude.116.einhalb,,51.504382,7.461531,a,1,1,78,130,208,78,0.036094,0.471541,0.169429,2833.175047,0.451089,5,0.398745,0.441103,18672.920164
https://www.instagram.com/cadnap/,cadnap,,,,a,1,4,4,26,30,4,0.001851,0.471541,0.135965,0,0,5,0.345103,0.369961,5941.522273
