Id,Label,timeset,lat,lng,kind of node,cityquartier,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum
https://www.instagram.com/hansaforum/,hansaforum,,,,a,,1,1,337,463,800,339,0.188753,0.694878,0.34454,18482,0.660402,4,0.529319,0.613014,288272.618353,337,463,800,0,464
https://www.instagram.com/boheme_boulette/,boheme_boulette,,51.952959,7.639816,a,,1,2,67,29,96,67,0.037305,0.694878,0.281744,5697,0.203566,4,0.397585,0.427983,1529.362861,67,29,96,0,464
https://www.instagram.com/babelmuenster/,babelmuenster,,51.953051,7.636929,a,,1,2,291,635,926,291,0.162027,0.694878,0.329737,16760,0.598871,3,0.551396,0.657137,252478.194266,291,635,926,0,464
https://www.instagram.com/wuddi_carsharing/,wuddi_carsharing,,51.98724,7.619003,a,,1,0,56,147,203,56,0.03118,0.694878,0.263349,4208,0.150361,3,0.412227,0.458209,29669.731116,56,147,203,0,464
https://www.instagram.com/goldmariie__/,goldmariie__,,,,a,,1,5,73,256,329,75,0.041759,0.694878,0.23312,877,0.031337,4,0.385534,0.457763,125872.391381,73,256,329,0,464
https://www.instagram.com/dreiklangcafe/,dreiklangcafe,,51.957637,7.639812,a,,1,6,157,121,278,158,0.087973,0.694878,0.310493,13087,0.467627,3,0.469519,0.502382,41732.106797,157,121,278,0,464
https://www.instagram.com/diebaustelle8/,diebaustelle8,,,,a,,1,7,60,198,258,62,0.034521,0.694878,0.267162,1890,0.067534,4,0.458994,0.515237,68361.993488,60,198,258,0,464
https://www.instagram.com/dreiraummuenster/,dreiraummuenster,,51.952105,7.650294,a,,1,1,62,196,258,72,0.040089,0.694878,0.263349,2022,0.07225,4,0.436444,0.4932,55737.849345,62,196,258,0,464
https://www.instagram.com/hansator_ms/,hansator_ms,,,,a,,1,0,31,78,109,32,0.017817,0.694878,0.262631,3744,0.133781,4,0.401579,0.438455,13645.319927,31,78,109,0,464
https://www.instagram.com/elben.ms/,elben.ms,,51.953975,7.616549,a,,1,0,186,227,413,186,0.103563,0.694878,0.313864,17459,0.623848,3,0.48484,0.534644,15058.867988,186,227,413,0,464
https://www.instagram.com/stadtsache/,stadtsache,,,,a,,1,4,13,15,28,13,0.007238,0.694878,0.233938,685,0.024477,4,0.365159,0.388525,1278.163266,13,15,28,0,464
https://www.instagram.com/highvoltagems/,highvoltagems,,,,a,,1,2,10,6,16,10,0.005568,0.694878,0.238244,826,0.029515,5,0.348557,0.371163,13.914126,10,6,16,0,464
https://www.instagram.com/supportyourlocals_muenster/,supportyourlocals_muenster,,,,a,,1,0,139,78,217,139,0.077394,0.694878,0.313071,12302,0.439577,4,0.404969,0.440838,2635.777112,139,78,217,0,464
https://www.instagram.com/held.design/,held.design,,51.95465,7.629718,a,,1,0,28,99,127,28,0.01559,0.694878,0.26271,2286,0.081684,4,0.418808,0.459351,1167.037525,28,99,127,0,464
https://www.instagram.com/muenstermasche/,muenstermasche,,,,a,,1,0,12,65,77,12,0.006682,0.694878,0.242915,1071,0.038269,3,0.414363,0.444014,150.359547,12,65,77,0,464
https://www.instagram.com/yochee_7dex/,yochee_7dex,,,,a,,1,2,61,114,175,61,0.033964,0.694878,0.27724,3753,0.134103,4,0.438038,0.480643,5577.883681,61,114,175,0,464
https://www.instagram.com/freiwilligenagenturmuenster/,freiwilligenagenturmuenster,,51.971735,7.61072,a,,1,0,75,103,178,75,0.041759,0.694878,0.279654,6884,0.24598,4,0.413955,0.455877,3182.13241,75,103,178,0,464
https://www.instagram.com/luetthuusmuenster/,luetthuusmuenster,,,,a,,1,1,32,59,91,32,0.017817,0.694878,0.264392,3378,0.120703,4,0.407228,0.441036,1059.916819,32,59,91,0,464
https://www.instagram.com/fok.food/,fok.food,,51.953341,7.641248,a,,1,0,67,46,113,67,0.037305,0.694878,0.28461,6795,0.2428,4,0.390738,0.421332,576.403982,67,46,113,0,464
https://www.instagram.com/prinzessinnengarten_kollektiv/,prinzessinnengarten_kollektiv,,52.466603,13.431851,a,,1,1,14,5,19,15,0.008352,0.694878,0.241427,767,0.027407,5,0.313129,0.328598,146.802247,14,5,19,0,464
https://www.instagram.com/radiokiepenkerl/,radiokiepenkerl,,,,a,,1,0,37,4,41,37,0.020601,0.694878,0.259177,3274,0.116987,4,0.322574,0.338346,5.222581,37,4,41,0,464
https://www.instagram.com/raphaelseisms/,raphaelseisms,,51.964352,7.630433,a,,1,0,124,77,201,124,0.069042,0.694878,0.29914,11325,0.404667,4,0.435425,0.47032,2970.160295,124,77,201,0,464
https://www.instagram.com/allesmuenster/,allesmuenster,,,,a,,1,0,303,197,500,303,0.168708,0.694878,0.334313,23359,0.834667,3,0.450738,0.50268,23027.604278,303,197,500,0,464
